row: time/col: destination_zone,0,1,2,3,4,5,6,7,8,9
0,0.08603255,0.108997814,0.110956125,0.094768755,0.09153778,0.09005418,0.10631091,0.105327256,0.09154614,0.10940561
1,0.09320789,0.120100066,0.122501485,0.09984111,0.09765296,0.09812972,0.11369779,0.11371084,0.09673817,0.12022201
2,0.10083337,0.13227078,0.13517733,0.10491379,0.10397649,0.10682345,0.12131236,0.12256867,0.10198441,0.13199413
3,0.10891087,0.14558865,0.14906752,0.109953836,0.11048886,0.11616129,0.12911801,0.13189514,0.10725618,0.14477502
4,0.11743734,0.1601305,0.16425388,0.114927374,0.11716728,0.12616585,0.13707244,0.14167872,0.11252317,0.15861255
5,0.1264042,0.17596866,0.18081334,0.119800396,0.123985834,0.13685551,0.14512815,0.15190136,0.11775401,0.17354709
6,0.13579683,0.19316775,0.19881463,0.12453952,0.13091579,0.14824334,0.15323313,0.16253813,0.12291692,0.18960884
7,0.14559421,0.21178076,0.21831405,0.12911278,0.137926,0.16033602,0.16133188,0.1735569,0.12798038,0.20681491
8,0.15576865,0.2318446,0.23935084,0.13349046,0.1449834,0.17313278,0.16936658,0.18491834,0.13291384,0.22516622
9,0.1662858,0.25337523,0.26194197,0.13764574,0.15205362,0.1866244,0.17727852,0.19657616,0.13768847,0.24464439
10,0.17710488,0.27636236,0.28607664,0.14155538,0.15910171,0.20079234,0.18500951,0.20847754,0.14227779,0.2652089
11,0.1881792,0.30076435,0.31171086,0.14520024,0.16609284,0.2156081,0.19250354,0.22056395,0.1466583,0.28679454
12,0.19945693,0.32650355,0.3387625,0.14856556,0.17299314,0.23103276,0.19970824,0.23277223,0.15080996,0.30930975
13,0.2108822,0.35346252,0.36710733,0.15164123,0.17977041,0.24701692,0.20657626,0.24503593,0.15471661,0.33263573
14,0.22239634,0.38148206,0.3965768,0.15442178,0.18639491,0.26350114,0.21306653,0.25728685,0.15836619,0.3566271
15,0.2339394,0.41036117,0.426958,0.15690616,0.19284,0.28041652,0.2191452,0.2694568,0.16175081,0.38111377
16,0.24545169,0.4398597,0.45799634,0.15909757,0.19908261,0.29768604,0.22478616,0.2814794,0.16486672,0.40590453
17,0.25687543,0.4697039,0.4894014,0.16100292,0.20510373,0.31522608,0.22997148,0.2932917,0.16771409,0.43079215
18,0.2681563,0.49959493,0.52085567,0.1626324,0.21088856,0.33294827,0.23469122,0.3048359,0.1702967,0.45555976
19,0.27924472,0.5292195,0.55202615,0.16399887,0.21642669,0.35076162,0.23894313,0.31606063,0.17262152,0.4799881
20,0.29009706,0.55826277,0.5825777,0.16511725,0.2217119,0.36857486,0.24273203,0.3269221,0.17469822,0.50386333
21,0.30067632,0.58642155,0.6121874,0.16600394,0.22674207,0.38629854,0.24606897,0.3373846,0.17653866,0.5269846
22,0.31095278,0.61341727,0.64055824,0.16667628,0.23151872,0.40384716,0.24897021,0.34742108,0.17815633,0.54917073
23,0.32090402,0.6390072,0.6674314,0.16715203,0.2360466,0.42114094,0.25145626,0.3570128,0.17956588,0.57026625
24,0.33051473,0.6629932,0.69259566,0.16744891,0.24033323,0.43810734,0.2535508,0.3661492,0.1807826,0.5901449
25,0.33977637,0.68522686,0.71589303,0.16758424,0.24438837,0.45468205,0.25527963,0.374827,0.18182203,0.6087121
26,0.3486864,0.70561165,0.7372212,0.1675747,0.24822347,0.4708097,0.25666982,0.38304955,0.18269959,0.6259052
27,0.35724762,0.7241014,0.75653183,0.16743608,0.25185117,0.48644412,0.2577489,0.39082575,0.18343028,0.64169246
28,0.36546722,0.7406964,0.77382654,0.16718309,0.25528485,0.50154823,0.25854424,0.39816898,0.18402846,0.6560702
29,0.37335593,0.7554368,0.7891499,0.16682936,0.25853825,0.51609385,0.25908238,0.40509617,0.18450768,0.6690594
30,0.38092715,0.7683958,0.80258185,0.16638735,0.26162508,0.5300608,0.2593888,0.4116268,0.18488061,0.6807018
31,0.38819617,0.7796718,0.81422925,0.16586834,0.26455882,0.5434366,0.25948754,0.41778195,0.18515892,0.6910554
32,0.39517957,0.78938085,0.8242177,0.16528252,0.26735246,0.55621517,0.25940102,0.42358378,0.1853533,0.7001904
33,0.40189448,0.7976497,0.83268416,0.16463898,0.27001837,0.56839633,0.25915,0.42905468,0.18547344,0.70818526
34,0.40835825,0.8046101,0.8397708,0.16394582,0.2725682,0.57998484,0.25875345,0.4342169,0.18552811,0.7151232
35,0.41458794,0.810394,0.84561956,0.16321021,0.27501273,0.59098965,0.25822866,0.43909207,0.18552518,0.7210895
36,0.42060015,0.81512976,0.8503683,0.16243847,0.277362,0.601423,0.25759128,0.443701,0.18547165,0.72616905
